Molecule_ChEMBL_ID,Molecule_Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard_Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Potential Duplicate,Assay ChEMBL ID,BAO Label,Assay Cell Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Cell ChEMBL ID,Assay Description,Standardized_Strain,Unique_Chemicals,Unique_Strains,Final Count,Unnamed: 30,Unnamed: 31
CHEMBL5313643,,,351.52,0.0,4.69,1797787,c1ccc2c(CNCCC3CCN(c4ccncc4)CC3)csc2c1,IC50,'=',449.0,nM,6.347753659,,,UO_0000065,0,CHEMBL4888493,organism-based format,Erythrocyte,CHEMBL5308541,60, Malaria Hit Generation Library,ACS Med Chem Lett,CHEMBL3833281,"Re-testing in dose-response curve in 3D7 pLDH assay, at 72h",3D7,,,,,
CHEMBL307261,,,284.35,0.0,2.19,DHA,C[C@H]1[C@@H](O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,IC50,'=',1.4,nM,8.853871964,,,UO_0000065,0,CHEMBL1658388,organism-based format,,CHEMBL1649312,1,Scientific Literature,Antimicrob Agents Chemother,,Antimalarial activity against Plasmodium falciparum PA assessed as inhibition of [3H] incorporation after 48 hrs by scintillation counter,PA,,,,,
CHEMBL303933,PIPERAQUINE,3.0,535.52,2.0,5.42,PPQ,Clc1ccc2c(N3CCN(CCCN4CCN(c5ccnc6cc(Cl)ccc56)CC4)CC3)ccnc2c1,IC50,'=',98.0,nM,7.008773924,,,UO_0000065,0,CHEMBL1658386,organism-based format,,CHEMBL1649312,1,Scientific Literature,Antimicrob Agents Chemother,,Antimalarial activity against Plasmodium falciparum FCM29 assessed as inhibition of [3H] incorporation after 48 hrs by scintillation counter,FcM29,,,,,
CHEMBL307261,,,284.35,0.0,2.19,"1, DHA",C[C@H]1[C@@H](O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,IC50,'=',0.4,nM,9.397940009,,,UO_0000065,0,CHEMBL1654530,organism-based format,,CHEMBL1649312,1,Scientific Literature,Antimicrob Agents Chemother,,"Antimalarial activity against Plasmodium falciparum IMT 10354 harboring Ppcrt M74I, N75E, K76T, A220S mutant gene, Pmdr1 D1246Y mutant gene assessed as incorporation of [3]H hypoxanthine after 48 hrs by scintillation counter",IMT 10354,,,,,
CHEMBL307261,,,284.35,0.0,2.19,"1, DHA",C[C@H]1[C@@H](O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,IC50,'=',1.2,nM,8.920818754,,,UO_0000065,0,CHEMBL1658405,organism-based format,,CHEMBL1649312,1,Scientific Literature,Antimicrob Agents Chemother,,Antimalarial activity against Plasmodium falciparum IMT Vol assessed as inhibition of [3H] incorporation after 48 hrs by scintillation counter,IMT Vol,,,,,
CHEMBL4102085,,,288.35,0.0,4.24,25,Cc1cc(Nc2ccc3ccccc3c2)n2nc(C)cc2n1,IC50,'=',5100.0,nM,5.292429824,,,UO_0000065,0,CHEMBL4002749,cell-based format,,CHEMBL4002546,1,Scientific Literature,Eur J Med Chem,,Antiplasmodial activity against chloroquine-resistant Plasmodium falciparum W2 infected in human A+ erythrocytes after 48 hrs by SYBR Green based fluorescence assay,W2,,,,,
CHEMBL5313530,,,370.59,0.0,2.8,1797951,CN1CCN(CCCCNC2CC3CCC(C2)N3Cc2ccccc2)CC1,IC50,'=',1080.0,nM,5.966576245,,,UO_0000065,0,CHEMBL4888493,organism-based format,Erythrocyte,CHEMBL5308541,60, Malaria Hit Generation Library,ACS Med Chem Lett,CHEMBL3833281,"Re-testing in dose-response curve in 3D7 pLDH assay, at 72h",3D7,,,,,
CHEMBL303933,PIPERAQUINE,3.0,535.52,2.0,5.42,PPQ,Clc1ccc2c(N3CCN(CCCN4CCN(c5ccnc6cc(Cl)ccc56)CC4)CC3)ccnc2c1,IC50,'=',37.0,nM,7.431798276,,,UO_0000065,0,CHEMBL1654537,organism-based format,,CHEMBL1649312,1,Scientific Literature,Antimicrob Agents Chemother,,"Antimalarial activity against Plasmodium falciparum IMT Vol harboring Ppcrt M74I, N75E, K76T, A220S, Q271E, N326S mutant gene, Pmdr1 N86Y mutant gene and Pfmrp H191Y and S437A mutant gene assessed as incorporation of [3]H hypoxanthine after 48 hrs by scintillation counter",IMT Vol,,,,,
CHEMBL3828604,,,343.31,0.0,4.35,10,Cc1cc(Nc2ccc3ccccc3c2)n2nc(C(F)(F)F)nc2n1,IC50,'=',23.0,nM,7.638272164,,,UO_0000065,0,CHEMBL4002742,cell-based format,,CHEMBL4002546,1,Scientific Literature,Eur J Med Chem,,Antiplasmodial activity against chloroquine-resistant Plasmodium falciparum W2 infected in human A+ erythrocytes by HRP2 detection based ELISA,W2,,,,,
CHEMBL64,ISONIAZID,4.0,137.14,0.0,-0.31,INH,NNC(=O)c1ccncc1,IC50,'=',1200000.0,nM,2.920818754,Outside typical range,,UO_0000065,0,CHEMBL936742,organism-based format,,CHEMBL1145507,1,Scientific Literature,J Biol Chem,,Antimalarial activity against Plasmodium falciparum 3D7 expressing katG,3D7,,,,,
