Chemical,Count
CHEMBL92583,6
CHEMBL597497,2
CHEMBL608725,2
CHEMBL468935,17
CHEMBL2012956,2
CHEMBL511212,16
CHEMBL2041985,2
CHEMBL2402793,3
CHEMBL2408794,1
CHEMBL3124989,2
CHEMBL2414891,1
CHEMBL3124997,2
CHEMBL3124995,4
CHEMBL3124984,2
CHEMBL3124983,2
CHEMBL3124980,6
CHEMBL3124979,1
CHEMBL1164343,2
CHEMBL1163715,2
CHEMBL146616,3
CHEMBL1709,7
CHEMBL85,6
CHEMBL375270,6
CHEMBL303579,6
CHEMBL1255659,6
CHEMBL429298,6
CHEMBL482470,4
CHEMBL342499,2
CHEMBL1077223,1
CHEMBL2431483,2
CHEMBL2431499,2
CHEMBL2431497,2
CHEMBL174748,1
CHEMBL108596,1
CHEMBL516397,2
CHEMBL2368167,6
CHEMBL67126,1
CHEMBL293969,3
CHEMBL1761008,1
CHEMBL207675,22
CHEMBL5281541,1
CHEMBL280998,7
CHEMBL367105,1
CHEMBL5282425,1
CHEMBL5169688,2
CHEMBL118743,3
CHEMBL99170,3
CHEMBL532729,1
CHEMBL89732,1
CHEMBL594550,2
CHEMBL150301,1
CHEMBL58510,80
CHEMBL403076,2
CHEMBL255487,2
CHEMBL151514,1
CHEMBL491544,1
CHEMBL441251,2
CHEMBL331854,1
CHEMBL153000,1
CHEMBL356249,2
CHEMBL2368047,1
CHEMBL508758,1
CHEMBL460704,2
CHEMBL447169,4
CHEMBL849,11
CHEMBL259983,4
CHEMBL406746,4
CHEMBL93893,2
CHEMBL321034,1
CHEMBL322320,1
CHEMBL595266,1
CHEMBL1255966,6
CHEMBL544428,7
CHEMBL1256832,7
CHEMBL1201102,7
CHEMBL111545,6
CHEMBL336467,8
CHEMBL104538,1
CHEMBL539296,2
CHEMBL1134,9
CHEMBL1643382,1
CHEMBL281943,2
CHEMBL279113,4
CHEMBL3084857,4
CHEMBL386396,4
CHEMBL1256692,5
CHEMBL3219284,6
CHEMBL176227,1
CHEMBL468843,3
CHEMBL281262,2
CHEMBL3349211,4
CHEMBL295589,1
CHEMBL3084847,2
CHEMBL1761036,1
CHEMBL1950987,1
CHEMBL1951000,2
CHEMBL1951007,1
CHEMBL148399,2
CHEMBL18331,7
CHEMBL541268,10
CHEMBL1256914,7
CHEMBL47940,7
CHEMBL1201155,6
CHEMBL501867,7
CHEMBL27022,2
CHEMBL1713,7
CHEMBL544115,7
CHEMBL1256656,7
CHEMBL1256761,2
CHEMBL29097,7
CHEMBL38,3
CHEMBL1255757,3
CHEMBL567,7
CHEMBL27759,2
CHEMBL315514,1
CHEMBL23293,5
CHEMBL1234696,6
CHEMBL1257014,3
CHEMBL1728,6
CHEMBL1256695,4
CHEMBL587714,7
CHEMBL67535,7
CHEMBL8488,6
CHEMBL585,48
CHEMBL1256738,6
CHEMBL1256834,6
CHEMBL578973,1
CHEMBL52792,2
CHEMBL576248,1
CHEMBL576421,1
CHEMBL6741,2
CHEMBL3037971,1
CHEMBL328154,2
CHEMBL575956,1
CHEMBL575550,1
CHEMBL583195,1
CHEMBL572915,1
CHEMBL576929,1
CHEMBL572672,1
CHEMBL1256188,7
CHEMBL575569,10
CHEMBL1770840,1
CHEMBL1278211,1
CHEMBL1277134,1
CHEMBL65846,2
CHEMBL1682610,3
CHEMBL467584,5
CHEMBL226555,1
CHEMBL227667,1
CHEMBL408245,4
CHEMBL535650,10
CHEMBL577939,1
CHEMBL3112871,2
CHEMBL382206,2
CHEMBL205109,2
CHEMBL194317,1
CHEMBL193965,1
CHEMBL382275,1
CHEMBL198195,1
CHEMBL366184,1
CHEMBL391105,4
CHEMBL233429,4
CHEMBL227351,1
CHEMBL1186255,2
CHEMBL3216482,3
CHEMBL2403405,1
CHEMBL567211,1
CHEMBL568492,2
CHEMBL243597,3
CHEMBL592922,2
CHEMBL572461,2
CHEMBL576964,2
CHEMBL273085,4
CHEMBL270772,4
CHEMBL405606,4
CHEMBL2408335,1
CHEMBL399032,4
CHEMBL2402786,3
CHEMBL2409000,2
CHEMBL2408806,3
CHEMBL2402781,2
CHEMBL2402779,3
CHEMBL2402792,3
CHEMBL227295,1
CHEMBL227569,1
CHEMBL241869,2
CHEMBL244873,2
CHEMBL4928393,3
CHEMBL4921947,4
CHEMBL2029752,1
CHEMBL2029754,1
CHEMBL2029758,1
CHEMBL2029763,1
CHEMBL2012955,2
CHEMBL2012958,7
CHEMBL303933,87
CHEMBL1946562,2
CHEMBL1946399,2
CHEMBL46136,7
CHEMBL1203324,14
CHEMBL2376556,1
CHEMBL1934544,1
CHEMBL2408802,2
CHEMBL452459,1
CHEMBL2408812,3
CHEMBL2408985,1
CHEMBL2408975,1
CHEMBL2408995,3
CHEMBL1928246,1
CHEMBL1928413,1
CHEMBL1928417,1
CHEMBL1928400,2
CHEMBL1928401,2
CHEMBL2403392,1
CHEMBL479432,9
CHEMBL1927489,2
CHEMBL1927483,2
