Scaffold,count
O=C(C=Cc1ccc(-c2ccccc2)o1)Nc1ccc(NC(=O)CCc2ccccc2)c(C(=O)c2ccccc2)c1,17
O=C1c2ccccc2C(=O)c2cc3c(cc21)CCCC3OC1CCCCO1,17
O=C1C(=Cc2ccccc2)SC(=S)N1CCCNc1ccnc2ccccc12,17
O=C(NC(CCNCc1ccccc1)Cc1ccccc1)c1ccc(Nc2ccccc2)cc1,17
c1ccc(CCCNCCc2ccccc2)cc1,17
c1cc(CN2CCNCC2)cc(Nc2ccnc3ccccc23)c1,17
O=C(CCCC1CCC2C1CCC1C3CCC4(CC3CCC21)OOC1(CCCCC1)OO4)Nc1ccccc1,17
c1ccc2c(NC3CCCCC3)ccnc2c1,17
c1ccc(CC2c3ccccc3C3=NCCN32)cc1,17
c1ccc(CCn2cnc3cccnc32)cc1,17
C=C1C(=O)CC2C3=C(CC4C5C(CC6=CC(=O)OC64C13)CC1CC15)C1CC12,17
C1CC2CCC1O2,17
c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,17
O=C1NC(=Nc2ccccc2)SC1=Cc1ccn(-c2ccccc2)c1,17
C1=CN(Cc2ccccc2)CCC1=[N+]1CCCC1,16
C1CCNC1,16
O=C(C=Cc1ccccc1)NCCOc1ccc2[nH]c3cnccc3c2c1,16
O=C1CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CN1,16
O=C1CNCN1CCCCNc1cccc2cccnc12,16
O=C1C=C(Nc2ccc3ccccc3c2)SC1,16
O=C1CC(c2ccccc2)Oc2ccccc21,16
c1ccc2c(c1)CCNC2CC1CCN2CCc3ccccc3C2C1,16
c1ccc(CNCCCCNc2ccnc3ccccc23)cc1,16
c1ccc(C[N+]23CCC(CC2)CC3Cc2ccnc3ccccc23)cc1,16
O=C1OC2OC3CCC4CCCC(C1CCCc1ccccc1)C42OO3,16
C1CC1,16
C(=NNc1ccnc2ccccc12)c1ccc(CN2CCCC2)cc1,16
c1ccc2cc(OCc3c[nH]nn3)ccc2c1,16
c1ccc(Cn2ccc3ccccc32)cc1,16
O=C(NCCc1ccccc1)OCc1ccccc1,16
O=C1NC2(C(=O)Nc3ccccc3)CCC(=O)N2c2ccccc21,16
O=C1C2Cc3c([nH]c4ccccc34)C(c3ccc4c(c3)OCO4)N2C(=O)CN1C1CCN(Cc2ccccc2)C1,16
O=C(Nc1ccccc1)C(c1ccccc1)N1CCN(c2ncnc3sc4c(c23)CCCC4)CC1,16
c1ccc2c(NCCNCCNc3ccnc4ccccc34)ccnc2c1,16
c1ccc2nc3c(nc2c1)c1c(c2ccccc23)OCCC1,16
O=C(C=Cc1ccccc1)NCCOc1ccc2c(c1)[nH]c1cnccc12,16
c1ccc(C(c2ccc(CN3CCCC3)cc2)n2ccnc2)cc1,16
c1ccc(N=C(NCCNc2ccnc3ccccc23)Nc2ccccc2Oc2ccccc2)cc1,16
C(=Cc1c[nH]c2ccccc12)c1ccc2ccccc2[nH+]1,16
c1ccc2c(c1)nc(NCCCN1CCN(CCCNc3nc4ccccc4n4cccc34)CC1)c1cccn12,16
c1ccc(-c2ccc3nccc(-c4ccncc4)c3n2)cc1,16
O=C(C=C1C(=O)N(Cc2ccccc2)c2ccccc21)CC1CCCCO1,16
O=C(C=Cc1cccc(NC(=S)Nc2ccccc2)c1)CC1CCCCO1,16
O=C(C=Cc1cccc(NC(=O)Nc2ccccc2)c1)CC1CCCCO1,16
c1ccc(C(Nc2ccnc3ccccc23)c2ccc(CN3CCOCC3)cc2)cc1,16
c1ccc(N=C(NCCCCNc2ccnc3ccccc23)Nc2ccc(Oc3ccccc3)cc2)cc1,16
c1ccc(Nc2cccc3nc4ccccc4n23)cc1,16
c1ccc(COCC2OC3c4ccccc4[SH+]CC3C(OCc3ccccc3)C2OCc2ccccc2)cc1,16
c1ccc(CCn2cnc3ccccc32)cc1,16
c1ccc2c(c1)[I+]c1ccccc1-2,16
O=C(OCCCOC(=O)c1ccccc1)c1ccccc1,16
c1ccc(-c2nc3c(N4CCC(N5CCNCC5)CC4)nccc3[nH]2)cc1,16
O=C(C=Cc1ccccc1)NCc1cc2c(cn1)[nH]c1ccccc12,16
c1ccc(C(c2ccccc2)N2CCN(c3ncnc4sc5c(c34)CCCC5)CC2)cc1,16
O=c1c2ccccc2[nH]c2ccc(Oc3ccccc3)cc12,16
c1ccc(C(c2ccn(-c3ccccc3)c2)n2ccnc2)cc1,16
c1ccc(Nc2ncnc(Nc3ccc(Nc4ccnc5ccccc45)cc3)n2)cc1,16
C(=Cc1ccccc1)Cn1cc(COc2ccc3c(c2)[nH]c2cnccc23)nn1,16
c1ccc(-c2cccc(-c3ccccc3)c2)cc1,15
O=C(C=Cc1ccccc1)c1ccc(OCc2cn(-c3ccnc4ccccc34)nn2)cc1,15
c1ccc2nc3c(cc2c1)CCCC3,15
C=C1c2ccccc2CCc2ccccc21,15
c1ccc(Cn2nncc2-c2ccccc2)cc1,15
O=C(CC(NC(=O)c1ccccc1)c1ccccc1)OC1C=C2CC(=O)C3CCC4OCC4C3C(OC(=O)c3ccccc3)C(C2)C1,15
O=C(CNc1ccnc2ccccc12)N1CCNCC1,15
c1ccc(CN2CCC(Nc3nc(N4CCNCC4)nc4ccccc34)CC2)cc1,15
