Document ChEMBL ID,year
CHEMBL3352504,2014.0
CHEMBL3352586,2014.0
CHEMBL3616449,2015.0
CHEMBL2380285,2013.0
CHEMBL4699468,2020.0
CHEMBL3352710,2014.0
CHEMBL3585332,2015.0
CHEMBL3297686,2014.0
CHEMBL2384990,2013.0
CHEMBL1143174,2008.0
CHEMBL4808174,2021.0
CHEMBL1138206,2006.0
CHEMBL4732035,2021.0
CHEMBL4732215,2021.0
CHEMBL1148152,2004.0
CHEMBL1142969,2007.0
CHEMBL1148739,2007.0
CHEMBL1154767,2010.0
CHEMBL1154607,2009.0
CHEMBL4138198,2018.0
CHEMBL4330086,2019.0
CHEMBL1138267,2007.0
CHEMBL1287658,2010.0
CHEMBL4425082,2016.0
CHEMBL4024795,2018.0
CHEMBL5036370,2022.0
CHEMBL1149667,2007.0
CHEMBL4392851,2019.0
CHEMBL4390651,2019.0
CHEMBL3632484,2015.0
CHEMBL3600375,2015.0
CHEMBL1649141,2009.0
CHEMBL1154278,2009.0
CHEMBL4002546,2017.0
CHEMBL1143854,2007.0
CHEMBL1144346,2005.0
CHEMBL2434851,2013.0
CHEMBL2440073,2013.0
CHEMBL1142355,2008.0
CHEMBL4138238,2018.0
CHEMBL1153610,2009.0
CHEMBL1143839,2007.0
CHEMBL4184121,2018.0
CHEMBL5230103,2020.0
CHEMBL4428041,2016.0
CHEMBL1221400,2010.0
CHEMBL1143339,2009.0
CHEMBL1221407,2010.0
CHEMBL5252676,2023.0
CHEMBL3632462,2015.0
CHEMBL1147246,2003.0
CHEMBL5329153,2023.0
CHEMBL1158154,2008.0
CHEMBL4819148,2021.0
CHEMBL1158484,2009.0
CHEMBL4814069,2021.0
CHEMBL4811220,2021.0
CHEMBL5120775,2022.0
CHEMBL4715746,2016.0
CHEMBL3875172,2016.0
CHEMBL5360542,2023.0
CHEMBL3880414,2010.0
CHEMBL5316369,2023.0
CHEMBL5360578,2023.0
CHEMBL3627632,2015.0
CHEMBL5356935,2023.0
CHEMBL5356991,2023.0
CHEMBL2146461,2012.0
CHEMBL1287698,2010.0
CHEMBL1287677,2010.0
CHEMBL1641386,2010.0
CHEMBL4828716,2021.0
CHEMBL1275290,2010.0
CHEMBL4837267,2021.0
CHEMBL3352608,2014.0
CHEMBL1770072,2011.0
CHEMBL4138068,2017.0
CHEMBL1212705,2008.0
CHEMBL4138199,2018.0
CHEMBL1141393,2007.0
CHEMBL1671856,2008.0
CHEMBL1141639,2008.0
CHEMBL2311512,2013.0
CHEMBL2311481,2013.0
CHEMBL2311266,2013.0
CHEMBL4043294,2018.0
CHEMBL3120140,2014.0
CHEMBL4613213,2020.0
CHEMBL3813611,2016.0
CHEMBL1649433,2009.0
CHEMBL1150215,2001.0
CHEMBL3861949,2016.0
CHEMBL5120753,2022.0
CHEMBL1157095,2010.0
CHEMBL3612004,2015.0
CHEMBL4480447,2019.0
CHEMBL5104154,2022.0
CHEMBL3603793,2015.0
CHEMBL1156079,2009.0
CHEMBL3872286,2017.0
CHEMBL1141293,2007.0
CHEMBL3870335,2017.0
CHEMBL3779855,2016.0
CHEMBL5241051,2021.0
CHEMBL1139558,2005.0
CHEMBL1146351,2007.0
CHEMBL4373728,2019.0
